Mailing City,Mailing State/Province,Mailing Country,Reporting Term,Program SeleConnecticution: Program SeleConnecticution Name,Admissions Status,Status
Highland Park,New Jersey,United States of America,Spring 2023,Bus and Sci - Comp and Info Sciences - Technology Management Cert (NOD) Camden,Withdrawn,Did Not A/C
Flowood,Mississippi,United States,Fall 2023,Liberal Studies - Online (MA),Started App,Did Not A/C
Highland Park,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Not Coming,Did Not A/C
Kent,Ohio,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Camden,New Jersey,United States of America,Spring 2023,Public Administration - On Campus (MPA),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Edgewater Park,New Jersey,United States,Spring 2023,Data Science (MS),Started App,Did Not A/C
Portland,Oregon,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Beaver Falls,Pennsylvania,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Withdrawn,Did Not A/C
Brooklyn,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Charlottesville,Virginia,United States,Fall 2023,Childhood Studies (PHD),Started App,Did Not A/C
Miller Place,New York,United States,Fall 2023,Criminal Justice (MA),Started App,Did Not A/C
Pittsburgh,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Pennsauken,New Jersey,United States of America,Fall 2023,"History (American, Global, Public) (MA)",Deferred to Spring,Did Not A/C
Mickleton,New Jersey,United States of America,Fall 2023,Biology - Accelerated Degree BA/MS (MS),Admit-Coming,A/C
Sewell,New Jersey,United States,Fall 2023,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Fall 2023,Criminal Justice (MA),Admit-Coming,A/C
Buckeye,Arizona,United States,Fall 2023,Biology: Computational and Integrative (MS),Started App,Did Not A/C
South Dennis,Massachusetts,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Dallas,Texas,United States,Fall 2023,Forensic Science (MS),Started App,Did Not A/C
Delran,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Austin,Texas,United States of America,Fall 2023,Childhood Studies (PHD),Denied,Did Not A/C
Delran,New Jersey,United States of America,Spring 2024,Biology (MS),Started App,Did Not A/C
Brooklyn,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Old Bridge,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Fountain Valley,California,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Berkeley,California,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Spring,Texas,United States of America,Fall 2023,Criminal Justice (MA),Withdrawn,Did Not A/C
Easton,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Montville,New Jersey,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Oaklyn,New Jersey,United States of America,Spring 2023,Criminal Justice (MA),Deferred to Fall,Did Not A/C
Union Beach,New Jersey,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Mount Laurel,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Ho Ho Kus,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
New York,New York,United States,Fall 2023,Creative Writing (MFA) Camden,Started App,Did Not A/C
Riverside,New Jersey,United States of America,Spring 2023,Childhood Studies Accelerated Degree BA/MA (MA),Started App,Did Not A/C
Lindenwold,New Jersey,United States of America,Spring 2023,Teacher Education (MAT),Admit-Coming,A/C
Linden,Virginia,United States of America,Fall 2023,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Sicklerville,New Jersey,United States of America,Spring 2023,Criminal Justice (MA),Admit-Coming,A/C
Mesquite,Texas,United States of America,Spring 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
New York,New York,United States of America,Fall 2023,Childhood Studies (PHD),Admit-Withdrawn,Did Not A/C
Wenonah,New Jersey,United States,Fall 2024,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Kenmore,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Columbus,Ohio,United States of America,Fall 2023,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Voorhees,New Jersey,United States of America,Fall 2023,Biology (MS),Admit-Withdrawn,Did Not A/C
Berkeley,California,United States of America,Spring 2023,Liberal Studies - Online (MA),Admit-Coming,A/C
Sewell,New Jersey,United States of America,Fall 2024,Public Affairs/Community Development (PHD),Admit-Coming,A/C
Browns Mills,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Milltown,New Jersey,United States,Spring 2023,Biology: Computational and Integrative (MS),Started App,Did Not A/C
Murray,Utah,United States,Fall 2023,English (MA),Started App,Did Not A/C
Burlington,New Jersey,United States of America,Spring 2023,Biology (MS),Withdrawn,Did Not A/C
Atco,New Jersey,United States of America,Spring 2023,Teacher Education (MAT),Admit-Coming,A/C
State College,Pennsylvania,United States,Fall 2023,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Carneys Point,New Jersey,United States of America,Fall 2023,Public Administration - On Campus (MPA),Deferred to Fall,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Coming,A/C
West Deptford,New Jersey,United States of America,Fall 2023,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Public Affairs/Community Development (MS),Withdrawn,Did Not A/C
Randallstown,Maryland,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
San Francisco,California,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Aventura,Florida,United States of America,Spring 2023,Liberal Studies - Online (MA),Deferred to Fall,Did Not A/C
Lindenwold,New Jersey,United States,Spring 2023,Prevention Science (MS),Started App,Did Not A/C
Raleigh,North Carolina,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Prevention Science (PHD),Admit-Coming,A/C
Scotch Plains,New Jersey,United States of America,Fall 2023,Data Science (MS),Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Summer 2023,Teacher Education (MAT),Admit-Coming,A/C
East Elmhurst,New York,United States of America,Spring 2023,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Medford,New Jersey,United States,Fall 2023,Data Science (MS),Started App,Did Not A/C
Haddon Township,New Jersey,United States of America,Fall 2023,Criminal Justice - Dual MA/MPA Criminal Justice and Public Administration (MA),Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Spring 2023,Teacher Education (MAT),Admit-Coming,A/C
Somerset,New Jersey,United States,Spring 2023,Business and Science - Computer and Information Sciences (MBS) Camden,Started App,Did Not A/C
Burlington,New Jersey,United States of America,Fall 2023,Childhood Studies (PHD),Denied,Did Not A/C
Haddon Heights,New Jersey,United States of America,Fall 2023,Childhood Studies (PHD),Admit-Coming,A/C
Poughkeepsie,New York,United States of America,Spring 2023,Data Science (MS),Denied,Did Not A/C
Dover,New Hampshire,United States,Spring 2023,Data Science (MS),Started App,Did Not A/C
mount laurel,New Jersey,United States of America,Summer 2023,Teacher Education (MAT),Withdrawn,Did Not A/C
Davis,California,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Mullica Hill,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Cherry Hill,New Jersey,United States,Fall 2023,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Public Affairs/Community Development (MS),Admit-Coming,A/C
Orlando,Florida,United States of America,Fall 2023,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Canonsburg,Pennsylvania,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Denied,Did Not A/C
Galloway,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Withdrawn,Did Not A/C
Folsom,California,United States of America,Spring 2023,Liberal Studies - Online (MA),Admit-Coming,A/C
Camden,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Withdrawn,Did Not A/C
Sicklerville,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Cumming,Georgia,United States,Fall 2023,Biology: Computational and Integrative (MS),Started App,Did Not A/C
Falls,Pennsylvania,United States of America,Fall 2023,Biology: Computational and Integrative (MS),Admit-Coming,A/C
CAMDEN,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Grand Blanc,Michigan,United States,Fall 2023,Data Science (MS),Started App,Did Not A/C
West Deptford,New Jersey,United States,Summer 2023,Teacher Education (MAT),Started App,Did Not A/C
Merchantville,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Winona,Minnesota,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Succasunna,New Jersey,United States of America,Fall 2023,Forensic Science (MS),Admit-Withdrawn,Did Not A/C
Mount Holly,New Jersey,United States of America,Summer 2023,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Margate City,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Sicklerville,New Jersey,United States,Spring 2023,"History (American, Global, Public) (MA)",Started App,Did Not A/C
Irvington,New Jersey,United States,Fall 2023,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
San Angelo,Texas,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Linwood,New Jersey,United States of America,Spring 2023,Public Administration - On Campus (MPA),Admit-Coming,A/C
Piscataway,New Jersey,United States of America,Spring 2023,Teacher Education (MAT),Admit-Coming,A/C
Cherry Hill,New Jersey,United States,Fall 2023,English (MA),Started App,Did Not A/C
Denver,Colorado,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Withdrawn,Did Not A/C
Los Angeles,CA,United States of America,Fall 2024,Creative Writing (MFA) Camden,Denied,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Childhood Studies (MA),Denied,Did Not A/C
ScheneConnecticutady,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Mount Vernon,New York,United States,Fall 2023,Forensic Science (MS),Started App,Did Not A/C
Houston,Texas,United States,Summer 2023,Liberal Studies - Online (MA),Started App,Did Not A/C
Kannapolis,North Carolina,United States of America,Fall 2023,Childhood Studies (PHD),Deferred to Fall,Did Not A/C
Gladstone,New Jersey,United States,Fall 2023,Liberal Studies (MA),Started App,Did Not A/C
Phoenix,Arizona,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Barrington,New Jersey,United States of America,Fall 2023,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Arlington,Virginia,United States,Fall 2023,Prevention Science (PHD),Started App,Did Not A/C
Hoboken,New Jersey,United States of America,Spring 2023,Liberal Studies - Online (NOD),Withdrawn,Did Not A/C
Foley,Alabama,United States of America,Fall 2023,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
Orlando,Florida,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Cary,North Carolina,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Cherry Hill,New Jersey,United States,Fall 2023,Forensic Science (MS),Started App,Did Not A/C
Carbondale,Illinois,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Cherry Hill,New Jersey,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Cheltenham,Pennsylvania,United States,Fall 2023,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Hampton,Virginia,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Somerdale,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Irvington,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Cherry Hill,New Jersey,United States of America,Spring 2023,Teacher Education (MAT),Withdrawn,Did Not A/C
Chicago,Illinois,United States of America,Fall 2023,Childhood Studies (PHD),Deferred to Fall,Did Not A/C
Sicklerville,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
West Deptford,New Jersey,United States of America,Fall 2023,Forensic Science (MS),Admit-Withdrawn,Did Not A/C
fairfax,Virginia,United States of America,Spring 2023,Data Science (MS),Admit-Not Coming,Did Not A/C
New Paltz,New York,United States of America,Fall 2023,Childhood Studies (PHD),Admit-Withdrawn,Did Not A/C
Gainesville,Florida,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Gibbsboro,New Jersey,United States of America,Fall 2023,Forensic Science (MS),Admit-Coming,A/C
New York,New York,United States,Fall 2023,Teacher Education - Spanish (MAT),Started App,Did Not A/C
Saugerties,New York,United States of America,Fall 2023,Criminal Justice (MA),Admit-Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Cherry Hill,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (MS),Admit-Coming,A/C
Glendora,New Jersey,United States of America,Summer 2023,Teacher Education (MAT),Admit-Coming,A/C
San Francisco,California,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Jim Thorpe,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Hacienda Heights,California,United States of America,Fall 2023,English (MA),Admit-Withdrawn,Did Not A/C
Bristol,ConneConnecticuticut,United States,Fall 2023,Creative Writing (MFA) Camden,Started App,Did Not A/C
Quakertown,Pennsylvania,United States of America,Fall 2023,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Round Lake,Illinois,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Malden,Massachusetts,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Berkeley,California,United States of America,Fall 2023,Childhood Studies (PHD),Admit-Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Staten Island,New York,United States of America,Fall 2023,Data Science (MS),Withdrawn,Did Not A/C
New York,New York,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Minneapolis,Minnesota,United States of America,Fall 2023,Childhood Studies (PHD),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Pennsauken,New Jersey,United States,Summer 2023,Teacher Education (MAT),Started App,Did Not A/C
Camden,New Jersey,United States of America,Spring 2023,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
New York,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Denied,Did Not A/C
Audubon,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Admit-Coming,A/C
Ridgefield Park,New Jersey,United States of America,Spring 2023,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
New York,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Union City,New Jersey,United States,Fall 2023,Data Science (MS),Started App,Did Not A/C
West Caldwell,New Jersey,United States,Fall 2023,Childhood Studies (MA),Started App,Did Not A/C
Jersey City,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Cartersville,Georgia,United States of America,Fall 2023,Creative Writing (MFA) Camden,Admit-Withdrawn,Did Not A/C
Sewell,New Jersey,United States of America,Fall 2023,Childhood Studies Accelerated Degree BA/MA (MA),Denied,Did Not A/C
Green Bay,Wisconsin,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,Pennsylvania,United States,Fall 2023,Creative Writing (MFA) Camden,Started App,Did Not A/C
Gainesville,Florida,United States,Fall 2023,Data Science (MS),Started App,Did Not A/C
Flushing,New York,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Los Angeles,California,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Bronx,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Delran,New Jersey,United States of America,Spring 2023,Teacher Education - Spanish (MAT),Admit-Coming,A/C
Atlantic City,New Jersey,United States of America,Spring 2023,Liberal Studies - Online (MA),Admit-Coming,A/C
Beloit,Wisconsin,United States,Fall 2023,Creative Writing (MFA) Camden,Started App,Did Not A/C
Pensacola,Florida,United States,Spring 2024,Prevention Science (MS),Started App,Did Not A/C
Parker City,Indiana,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Denied,Did Not A/C
Tuscaloosa,Alabama,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Westville,New Jersey,United States of America,Spring 2024,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
Portland,Oregon,United States of America,Fall 2023,Data Science (MS),Withdrawn,Did Not A/C
Linwood,New Jersey,United States of America,Summer 2023,Teacher Education (MAT),Deferred to Fall,Did Not A/C
Short Hills,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Spring 2023,Criminal Justice (MA),Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Spring 2023,Teacher Education (NOD),Withdrawn,Did Not A/C
Bridgewater,New Jersey,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Charlott Hall,Maryland,United States of America,Fall 2023,Creative Writing (MFA) Camden,Admit-Coming,A/C
Williamstown,New Jersey,United States,Summer 2023,Teacher Education (MAT),Started App,Did Not A/C
Skokie,Illinois,United States,Fall 2023,Creative Writing (MFA) Camden,Started App,Did Not A/C
Woodbridge,Virginia,United States,Fall 2023,Public Affairs/Community Development (MS),Started App,Did Not A/C
Brooklyn,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Admit-Coming,A/C
Birdsboro,Pennsylvania,United States of America,Fall 2023,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Newark,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Pennsauken,New Jersey,United States of America,Fall 2023,Public Affairs/Community Development (PHD),Admit-Coming,A/C
Burlington,New Jersey,United States of America,Fall 2023,Data Science (MS),Admit-Coming,A/C
Nashville,Tennessee,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Roxbury,Massachusetts,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Caldwell,New Jersey,United States of America,Fall 2023,Childhood Studies (PHD),Admit-Coming,A/C
Trenton,New Jersey,United States of America,Fall 2023,Public Affairs/Community Development (PHD),Denied,Did Not A/C
Berlin,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Elkins Park,Pennsylvania,United States of America,Fall 2023,Prevention Science (PHD),Denied,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Denied,Did Not A/C
Canyon Country,California,United States,Fall 2023,Childhood Studies (MA),Started App,Did Not A/C
Camden,New Jersey,United States of America,Spring 2023,Teacher Education (NOD),Withdrawn,Did Not A/C
Oceanside,California,United States,Fall 2023,Creative Writing (MFA) Camden,Started App,Did Not A/C
Rockaway,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Allentown,Pennsylvania,United States,Fall 2023,Childhood Studies (MA),Started App,Did Not A/C
Bayonne,New Jersey,United States,Fall 2023,Data Science (MS),Started App,Did Not A/C
Lexington,Kentucky,United States,Fall 2023,Public Administration - On Campus (MPA),Started App,Did Not A/C
Windsor Locks,ConneConnecticuticut,United States of America,Fall 2023,Data Science (MS),Admit-Coming,A/C
Dryden,New York,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Coming,A/C
Berkeley Heights,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Delair,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
E Brunswick,New Jersey,United States of America,Fall 2023,Data Science (MS),Denied,Did Not A/C
New Orleans,Louisiana,United States,Fall 2023,Creative Writing (MFA) Camden,Started App,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Deforest,WI,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Coming,A/C
Albuquerque,New Mexico,United States of America,Fall 2023,Public Administration - On Campus (MPA),Admit-Withdrawn,Did Not A/C
Little Rock,Arkansas,United States of America,Fall 2023,Creative Writing (MFA) Camden,Admit-Withdrawn,Did Not A/C
Sewell,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Admit-Coming,A/C
Holmdel,New Jersey,United States of America,Fall 2023,Data Science (MS),Admit-Not Coming,Did Not A/C
Neptune,New Jersey,United States of America,Fall 2023,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Kohler,Wisconsin,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Dublin,California,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Phoenix,Arizona,United States of America,Fall 2023,Public Affairs/Community Development (PHD),Admit-Withdrawn,Did Not A/C
New York,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Athens,Ohio,United States,Fall 2023,Liberal Studies - Online (MA),Started App,Did Not A/C
Lawrenceville,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Brooklyn,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Audubon,New Jersey,United States of America,Summer 2023,Teacher Education (NOD),Admit-Coming,A/C
Glassboro,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
West Deptford,New Jersey,United States of America,Fall 2023,Public Affairs/Community Development (MS),Admit-Not Coming,Did Not A/C
Hicksville,New York,United States of America,Fall 2023,Childhood Studies (PHD),Denied,Did Not A/C
Tallahassee,Florida,United States of America,Fall 2023,Creative Writing (MFA) Camden,Admit-Coming,A/C
Wellington,Florida,United States of America,Fall 2023,English (MA),Admit-Coming,A/C
New York,New York,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Pitman,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Ventnor City,New Jersey,United States,Fall 2023,Teacher Education (MAT),Started App,Did Not A/C
Camden,New Jersey,United States,Fall 2023,Public Affairs/Community Development (MS),Started App,Did Not A/C
New Milford,New Jersey,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Glen Burnie,Maryland,United States,Fall 2023,"History (American, Global, Public) (MA)",Started App,Did Not A/C
Fort Wayne,Indiana,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Admit-Withdrawn,Did Not A/C
Irvington,New Jersey,United States,Fall 2023,Childhood Studies (MA),Started App,Did Not A/C
Lubbock,Texas,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Long Island City,New York,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Burlington,New Jersey,United States of America,Fall 2023,Public Affairs/Community Development (PHD),Denied,Did Not A/C
Durham,North Carolina,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Newark,New Jersey,United States of America,Fall 2023,Criminal Justice (MA),Admit-Not Coming,Did Not A/C
Scranton,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2023,Public Affairs/Community Development (MS),Denied,Did Not A/C
Brooklyn,New York,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Missoula,Montana,United States of America,Fall 2023,Creative Writing (MFA) Camden,Admit-Withdrawn,Did Not A/C
Linwood,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Lawrence,Kansas,United States of America,Fall 2023,Data Science (MS),Admit-Coming,A/C
Oxford,Ohio,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Knoxville,Tennessee,United States of America,Summer 2023,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Shaker Heights,Ohio,United States of America,Fall 2023,Data Science (MS),Denied,Did Not A/C
Camden,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Byesville,Ohio,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,PA,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Stony Point,New York,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Coming,A/C
Lubbock,Texas,United States of America,Fall 2023,Creative Writing (MFA) Camden,Admit-Coming,A/C
East Brunswick,New Jersey,United States of America,Fall 2023,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Middlesex,New Jersey,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Larchmont,New York,United States of America,Fall 2023,Data Science (MS),Admit-Withdrawn,Did Not A/C
Salt Lake City,Utah,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Ida Grove,Iowa,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Edison,New Jersey,United States,Fall 2023,Data Science (MS),Started App,Did Not A/C
Bloomington,Illinois,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Dillsburg,Pennsylvania,United States of America,Fall 2023,Forensic Science (MS),Admit-Withdrawn,Did Not A/C
cape may court house,New Jersey,United States,Summer 2023,Teacher Education (MAT),Started App,Did Not A/C
River Edge,New Jersey,United States of America,Fall 2023,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Birdsboro,Pennsylvania,United States of America,Fall 2023,Creative Writing (MFA) Camden,Denied,Did Not A/C
Pennsauken,New Jersey,United States of America,Fall 2023,Biology (MS),Admit-Coming,A/C
Haddonfield,New Jersey,United States of America,Fall 2023,Teacher Education (MAT),Admit-Withdrawn,Did Not A/C
